hs6;hs;sitc3;cod_omc_2;cat_omc_2_en;cod_omc_1;cat_omc_1_en;cat_omc_2;cat_omc_1
'070519;HS 2017;'05454;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'070610;HS 2017;'05455;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'070690;HS 2017;'05455;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'070920;HS 2017;'05459;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'070951;HS 2017;'05458;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'070990;HS 2007;'05459;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071021;HS 2017;'05469;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071120;HS 2017;'0547;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071220;HS 2017;'05612;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071239;HS 2017;'05613;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071290;HS 2017;'05619;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071310;HS 2017;'05421;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071332;HS 2017;'05423;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071333;HS 2017;'05423;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071339;HS 2017;'05423;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'071340;HS 2017;'05424;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080300;HS 2007;'0573;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080420;HS 2017;'0576;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080510;HS 2017;'05711;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080550;HS 2017;'05721;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080610;HS 2017;'05751;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080620;HS 2017;'05752;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080810;HS 2017;'0574;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080820;HS 2007;'05792;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080910;HS 2017;'05793;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080920;HS 2007;'05793;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080930;HS 2017;'05793;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'080940;HS 2017;'05793;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081010;HS 2017;'05794;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081020;HS 2017;'05794;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081030;HS 2017;'0579;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081040;HS 2017;'05794;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081090;HS 2017;'0579;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081110;HS 2017;'05831;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081210;HS 2017;'05821;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081310;HS 2017;'05799;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081320;HS 2017;'05799;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'081330;HS 2017;'05799;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090121;HS 2017;'0712;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090220;HS 2017;'07412;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090230;HS 2017;'07413;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090240;HS 2017;'07414;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090300;HS 2017;'07431;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090411;HS 2017;'07511;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090412;HS 2017;'07512;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090420;HS 2007;'07513;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090620;HS 2017;'07523;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090810;HS 2007;'07525;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090910;HS 2007;'07526;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090920;HS 2007;'07526;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'090930;HS 2007;'07526;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'091020;HS 2017;'07528;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'091040;HS 2002;'07528;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'091050;HS 2002;'07529;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'091091;HS 2017;'07529;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100110;HS 2007;'0411;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100190;HS 2007;'0412;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100300;HS 2007;'0430;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100510;HS 2017;'0441;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100590;HS 2017;'0449;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100610;HS 2017;'0421;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100620;HS 2017;'0422;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100630;HS 2017;'04231;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100640;HS 2017;'04232;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100700;HS 2007;'0453;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100820;HS 2007;'04591;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100830;HS 2017;'04593;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'100890;HS 2017;'04599;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110100;HS 2017;'0461;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110220;HS 2017;'04711;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110311;HS 2017;'0462;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110313;HS 2017;'04721;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110412;HS 2017;'04813;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110423;HS 2017;'04814;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110520;HS 2017;'05642;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110710;HS 2017;'0482;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'110811;HS 2017;'59211;3302;Chemicals;33;Manufactures;Productos químicos;Manufacturas
'110812;HS 2017;'59212;3302;Chemicals;33;Manufactures;Productos químicos;Manufacturas
'110819;HS 2017;'59215;3302;Chemicals;33;Manufactures;Productos químicos;Manufacturas
'110900;HS 2017;'59217;3302;Chemicals;33;Manufactures;Productos químicos;Manufacturas
'121020;HS 2017;'05484;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'121190;HS 2017;'058;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150100;HS 2007;'4112;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150200;HS 2007;'41132;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150300;HS 2017;'41133;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150420;HS 2017;'41112;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150500;HS 2017;'41135;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150600;HS 2017;'41139;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150710;HS 2017;'42111;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150790;HS 2017;'42119;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150810;HS 2017;'42131;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150910;HS 2017;'42141;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'150990;HS 2017;'42142;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151211;HS 2017;'42151;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151219;HS 2017;'42159;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151511;HS 2017;'42211;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151519;HS 2017;'42219;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151521;HS 2017;'42161;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151529;HS 2017;'42169;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151540;HS 2002;'42291;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151590;HS 2017;'42299;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151610;HS 2017;'43121;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151620;HS 2017;'43122;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151710;HS 2017;'09101;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151790;HS 2017;'09109;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'151800;HS 2017;'4311;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'152110;HS 2017;'43141;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'152190;HS 2017;'43142;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
