hs6;hs;sitc3;cod_omc_2;cat_omc_2_en;cod_omc_1;cat_omc_1_en;cat_omc_2;cat_omc_1
'843610;HS 2017;'72196;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843691;HS 2017;'72199;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843790;HS 2017;'72719;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843810;HS 2017;'72722;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843820;HS 2017;'72722;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843850;HS 2017;'72722;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843860;HS 2017;'72722;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843880;HS 2017;'72722;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843890;HS 2017;'72729;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843920;HS 2017;'72512;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843930;HS 2017;'72512;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843991;HS 2017;'72591;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'843999;HS 2017;'72591;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844110;HS 2017;'72521;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844180;HS 2017;'72529;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844250;HS 2017;'72635;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844319;HS 2017;'72667;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844329;HS 2002;'72661;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844330;HS 2002;'72663;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844359;HS 2002;'72667;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844390;HS 2002;'72699;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844520;HS 2017;'72443;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844590;HS 2017;'72454;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844630;HS 2017;'72451;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844819;HS 2017;'72461;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844820;HS 2017;'72449;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844849;HS 2017;'72467;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'844900;HS 2017;'72455;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845130;HS 2017;'72474;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845150;HS 2017;'72474;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845180;HS 2017;'72474;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845190;HS 2017;'72492;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845210;HS 2017;'72433;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845221;HS 2017;'72435;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845229;HS 2017;'72435;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845310;HS 2017;'72481;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845420;HS 2017;'73711;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845430;HS 2017;'73712;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845530;HS 2017;'73729;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845590;HS 2017;'73729;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845630;HS 2017;'73113;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845811;HS 2017;'73131;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845921;HS 2017;'73142;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845929;HS 2017;'73143;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'845959;HS 2017;'73152;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846029;HS 2017;'731;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846039;HS 2017;'73166;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846090;HS 2017;'73169;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846130;HS 2017;'73173;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846150;HS 2017;'73177;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846210;HS 2017;'73311;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846229;HS 2017;'73313;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846239;HS 2017;'73315;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846291;HS 2017;'73318;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846299;HS 2017;'73318;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846591;HS 2017;'72812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846592;HS 2017;'72812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846593;HS 2017;'72812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846594;HS 2017;'72812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846599;HS 2017;'72812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846610;HS 2017;'73511;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846620;HS 2017;'73513;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846630;HS 2017;'73515;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846693;HS 2017;'72855;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846694;HS 2017;'73595;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846711;HS 2017;'74511;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846719;HS 2017;'74511;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846721;HS 2017;'77841;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846722;HS 2017;'77843;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846729;HS 2017;'77845;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846781;HS 2017;'74512;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846789;HS 2017;'74512;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846791;HS 2017;'74519;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846792;HS 2017;'74519;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846810;HS 2017;'73741;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846820;HS 2017;'73742;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'846890;HS 2017;'73749;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847010;HS 2017;'75121;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847130;HS 2017;'7522;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847141;HS 2017;'752;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847149;HS 2017;'752;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847150;HS 2017;'752;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847160;HS 2017;'7526;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847170;HS 2017;'7527;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847180;HS 2017;'7529;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847190;HS 2017;'7529;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847290;HS 2017;'75199;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847329;HS 2017;'75995;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847330;HS 2017;'75997;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847340;HS 2017;'75997;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847350;HS 2017;'75997;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847431;HS 2017;'72833;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847490;HS 2017;'72839;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847590;HS 2017;'72851;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847710;HS 2017;'72842;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847720;HS 2017;'72842;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847751;HS 2017;'72842;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847780;HS 2017;'72842;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847790;HS 2017;'72852;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847920;HS 2017;'72721;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847940;HS 2017;'72849;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847950;HS 2017;'72849;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847960;HS 2017;'72849;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847981;HS 2017;'72846;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847982;HS 2017;'72849;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847989;HS 2017;'72849;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'847990;HS 2017;'72855;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848030;HS 2017;'74913;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848041;HS 2017;'74914;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848049;HS 2017;'74915;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848060;HS 2017;'74917;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848071;HS 2017;'74918;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848079;HS 2017;'74919;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848110;HS 2017;'7471;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848120;HS 2017;'7472;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848130;HS 2017;'7473;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848140;HS 2017;'7474;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848180;HS 2017;'7478;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848190;HS 2017;'7479;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848210;HS 2017;'7461;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848220;HS 2017;'7462;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848230;HS 2017;'7463;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848240;HS 2017;'7464;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848250;HS 2017;'7465;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848280;HS 2017;'7468;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848291;HS 2017;'74691;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848299;HS 2017;'74699;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848310;HS 2017;'7481;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848320;HS 2017;'74821;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848330;HS 2017;'74822;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848340;HS 2017;'7484;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848350;HS 2017;'7485;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848360;HS 2017;'7486;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848390;HS 2017;'7489;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848410;HS 2017;'749;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848420;HS 2017;'749;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848490;HS 2017;'749;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848510;HS 2002;'74991;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'848590;HS 2002;'74999;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850110;HS 2017;'7161;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850120;HS 2017;'71631;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850131;HS 2017;'7162;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850132;HS 2017;'7162;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850140;HS 2017;'71631;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850151;HS 2017;'71631;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850152;HS 2017;'71631;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850153;HS 2017;'71631;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850161;HS 2017;'71632;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850163;HS 2017;'71632;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850212;HS 2017;'71651;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850240;HS 2017;'7164;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850300;HS 2017;'7169;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850410;HS 2017;'77123;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850421;HS 2017;'77111;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850422;HS 2017;'77111;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850431;HS 2017;'77119;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850432;HS 2017;'77119;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850434;HS 2017;'77119;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850440;HS 2017;'77121;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850450;HS 2017;'77125;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850490;HS 2017;'77129;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850511;HS 2017;'77881;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850519;HS 2017;'77881;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850520;HS 2017;'77881;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850590;HS 2017;'77881;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850610;HS 2017;'77811;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850660;HS 2017;'77811;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850710;HS 2017;'77812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850720;HS 2017;'77812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850730;HS 2017;'77812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850780;HS 2017;'77812;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850790;HS 2017;'77819;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850980;HS 2017;'7757;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'850990;HS 2017;'77579;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851110;HS 2017;'77831;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851130;HS 2017;'77831;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851140;HS 2017;'77831;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851150;HS 2017;'77831;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851180;HS 2017;'77831;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851190;HS 2017;'77833;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851220;HS 2017;'77834;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851230;HS 2017;'77834;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851240;HS 2017;'77834;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851290;HS 2017;'77835;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851410;HS 2017;'74131;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851430;HS 2017;'74133;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851490;HS 2017;'74135;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851511;HS 2017;'73731;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851531;HS 2017;'73735;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851539;HS 2017;'73736;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851580;HS 2017;'73737;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851590;HS 2017;'73739;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851631;HS 2017;'77583;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851632;HS 2017;'77583;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851650;HS 2017;'77586;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851660;HS 2017;'77586;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851671;HS 2017;'77587;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851679;HS 2017;'77587;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851680;HS 2017;'77588;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851690;HS 2017;'77589;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851719;HS 2002;'76411;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851730;HS 2002;'76415;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851750;HS 2002;'76417;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851780;HS 2002;'76419;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851790;HS 2002;'76491;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851821;HS 2017;'76422;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'851829;HS 2017;'76423;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852290;HS 2017;'76499;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852510;HS 2002;'76431;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852520;HS 2002;'76432;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852530;HS 2002;'76482;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852540;HS 2002;'76381;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852691;HS 2017;'76483;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852692;HS 2017;'76483;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852721;HS 2017;'76211;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852729;HS 2017;'76212;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852731;HS 2002;'76281;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852790;HS 2002;'76481;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852812;HS 2002;'7611;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852821;HS 2002;'7611;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852822;HS 2002;'7612;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852910;HS 2017;'759;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'852990;HS 2017;'759;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853080;HS 2017;'77882;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853090;HS 2017;'77883;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853110;HS 2017;'77884;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853180;HS 2017;'77884;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853190;HS 2017;'77885;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853210;HS 2017;'77861;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853229;HS 2017;'77867;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853230;HS 2017;'77868;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
'853321;HS 2017;'77232;3304;Machinery and transport equipment;33;Manufactures;Maquinaria y equipo de transporte totales;Manufacturas
